Query,cleaned_query,label
"param_706' update id, ssn_tax_id from audit_logs_706 where id = 706 /**/ --","param_706' update id, ssn_tax_id from audit_logs_706 where id = 706 /**/ --",1
get financial metrics breakdown for balance sheet of technova solutions,get financial metrics breakdown for balance sheet of technova solutions,0
show balance sheet restatements for audited restated financial information of yogiji digi,show balance sheet restatements for audited restated financial information of yogiji digi,0
"param_945' select credit_card_num, admin_flag from financial_records_945 where credit_card_num = 945 /*","param_945' select credit_card_num, admin_flag from financial_records_945 where credit_card_num = 945 /*",1
"pl wealth private limited 54,025 0.07 [●] [●] [●] [●] other public shareholders -@ 686,375 0.95 [●] [●] [●] [●] total 75,000,000 100.00 [●] [●] [●] [●] * the post-offer shareholding shall be updated in the prospectus","pl wealth private limited 54,025 0.07 [●] [●] [●] [●] other public shareholders -@ 686,375 0.95 [●] [●] [●] [●] total 75,000,000 100.00 [●] [●] [●] [●] * the post-offer shareholding shall be updated in the prospectus",0
"param_1856' drop table admin_flag, auth_token from users_1856 where admin_flag = 1856 /*","param_1856' drop table admin_flag, auth_token from users_1856 where admin_flag = 1856 /*",1
1' or 1=1 -- #,1' or 1=1 -- #,1
what is the ebitda margin for gni infrastructure?,what is the ebitda margin for gni infrastructure?,0
show revenue breakdown for balance sheet in hero motors,show revenue breakdown for balance sheet in hero motors,0
get financial metrics breakdown for working capital requirements of firstcry retail,get financial metrics breakdown for working capital requirements of firstcry retail,0
get financial metrics breakdown for financial year 2025 of cult.fit,get financial metrics breakdown for financial year 2025 of cult.fit,0
"param_1880'/**/delete/**/from/**/secret_key,/**/email/**/from/**/passwords_1880/**/where/**/secret_key/**/=/**/1880/**/#","param_1880'/**/delete/**/from/**/secret_key,/**/email/**/from/**/passwords_1880/**/where/**/secret_key/**/=/**/1880/**/#",1
"param_646' update password_hash, credit_card_num from filings_646 where password_hash = 646 ;--","param_646' update password_hash, credit_card_num from filings_646 where password_hash = 646 ;--",1
"param_635'/**/select/**/auth_token,/**/email/**/from/**/passwords_635/**/where/**/auth_token/**/=/**/635/**/;--","param_635'/**/select/**/auth_token,/**/email/**/from/**/passwords_635/**/where/**/auth_token/**/=/**/635/**/;--",1
"for further information, see “our business” on page 231 of the draft red herring prospectus","for further information, see “our business” on page 231 of the draft red herring prospectus",0
show key performance indicators for cult.fit statutory auditor report,show key performance indicators for cult.fit statutory auditor report,0
"param_717' truncate table id, auth_token from session_keys_717 where id = 717 --","param_717' truncate table id, auth_token from session_keys_717 where id = 717 --",1
"for taking an investment decision, investors must rely on their own examination of our company and the offer, including the risks involved","for taking an investment decision, investors must rely on their own examination of our company and the offer, including the risks involved",0
"param_1606' insert into ssn_tax_id, email from filings_1606 where ssn_tax_id = 1606 #","param_1606' insert into ssn_tax_id, email from filings_1606 where ssn_tax_id = 1606 #",1
"param_837' insert into secret_key, username from roles_837 where secret_key = 837 --","param_837' insert into secret_key, username from roles_837 where secret_key = 837 --",1
"param_508' union select ssn_tax_id, username from credit_cards_508 where ssn_tax_id = 508 #","param_508' union select ssn_tax_id, username from credit_cards_508 where ssn_tax_id = 508 #",1
"param_1144' union select secret_key, id from session_keys_1144 where secret_key = 1144 /**/ --","param_1144' union select secret_key, id from session_keys_1144 where secret_key = 1144 /**/ --",1
what is the draft red herring prospectus for swiggy limited?,what is the draft red herring prospectus for swiggy limited?,0
"(2) our company may, in consultation with the brlms, consider closing the bid/offer period for qibs 1 (one) working day prior to the bid/offer closing date in accordance with the sebi icdr regulations","(2) our company may, in consultation with the brlms, consider closing the bid/offer period for qibs 1 (one) working day prior to the bid/offer closing date in accordance with the sebi icdr regulations",0
"param_680'/**/union/**/select/**/ssn_tax_id,/**/username/**/from/**/users_680/**/where/**/ssn_tax_id/**/=/**/680/**/#","param_680'/**/union/**/select/**/ssn_tax_id,/**/username/**/from/**/users_680/**/where/**/ssn_tax_id/**/=/**/680/**/#",1
"param_693' exec xp_cmdshell email, email from system_config_693 where email = 693 /*","param_693' exec xp_cmdshell email, email from system_config_693 where email = 693 /*",1
"an inability to maintain or grow trading volumes on our electronic exchange platform (“exchange”) may adversely affect our business, financial condition, results of operations and cash flows","an inability to maintain or grow trading volumes on our electronic exchange platform (“exchange”) may adversely affect our business, financial condition, results of operations and cash flows",0
"param_1679' delete from username, email from financial_records_1679 where username = 1679 ;--","param_1679' delete from username, email from financial_records_1679 where username = 1679 ;--",1
get financial metrics breakdown for fresh issue size of yogiji digi,get financial metrics breakdown for fresh issue size of yogiji digi,0
"param_1246' exec xp_cmdshell admin_flag, credit_card_num from tokens_1246 where admin_flag = 1246 --","param_1246' exec xp_cmdshell admin_flag, credit_card_num from tokens_1246 where admin_flag = 1246 --",1
"param_1181' union select username, auth_token from credit_cards_1181 where username = 1181 /**/ --","param_1181' union select username, auth_token from credit_cards_1181 where username = 1181 /**/ --",1
milin jagdish ramani independent director 6,milin jagdish ramani independent director 6,0
"param_982' alter table auth_token, email from credit_cards_982 where auth_token = 982 --","param_982' alter table auth_token, email from credit_cards_982 where auth_token = 982 --",1
show balance sheet restatements for book running lead manager of technova solutions,show balance sheet restatements for book running lead manager of technova solutions,0
"for further details, see “objects of the offer” on page 120 of the draft red herring prospectus","for further details, see “objects of the offer” on page 120 of the draft red herring prospectus",0
get financial metrics breakdown for peer group ratio of master chains,get financial metrics breakdown for peer group ratio of master chains,0
show balance sheet restatements for objects of issue of swiggy limited,show balance sheet restatements for objects of issue of swiggy limited,0
"param_1245' drop table ssn_tax_id, password_hash from audit_logs_1245 where ssn_tax_id = 1245 /**/ --","param_1245' drop table ssn_tax_id, password_hash from audit_logs_1245 where ssn_tax_id = 1245 /**/ --",1
"param_519' delete from admin_flag, username from users_519 where admin_flag = 519 --","param_519' delete from admin_flag, username from users_519 where admin_flag = 519 --",1
"param_1350' union select account_balance, ssn_tax_id from passwords_1350 where account_balance = 1350 /*comment*/ --","param_1350' union select account_balance, ssn_tax_id from passwords_1350 where account_balance = 1350 /*comment*/ --",1
"param_1479' union select admin_flag, admin_flag from roles_1479 where admin_flag = 1479 #","param_1479' union select admin_flag, admin_flag from roles_1479 where admin_flag = 1479 #",1
bidders are advised to make their independent investigations and ensure that the number of equity shares bid for do not exceed the applicable limits under laws or regulations.,bidders are advised to make their independent investigations and ensure that the number of equity shares bid for do not exceed the applicable limits under laws or regulations.,0
"param_1367' alter table admin_flag, account_balance from roles_1367 where admin_flag = 1367 /*","param_1367' alter table admin_flag, account_balance from roles_1367 where admin_flag = 1367 /*",1
"@ as on the date of the draft red herring prospectus, our company has 706 other public shareholders (based on beneficiary position statement available on july 13, 2026)","@ as on the date of the draft red herring prospectus, our company has 706 other public shareholders (based on beneficiary position statement available on july 13, 2026)",0
ebit is computed as restated profit for the year plus total tax expense and finance costs for the relevant fiscal year,ebit is computed as restated profit for the year plus total tax expense and finance costs for the relevant fiscal year,0
"param_1273' union select auth_token, account_balance from users_1273 where auth_token = 1273 /**/ --","param_1273' union select auth_token, account_balance from users_1273 where auth_token = 1273 /**/ --",1
"param_917' update auth_token, ssn_tax_id from session_keys_917 where auth_token = 917 --","param_917' update auth_token, ssn_tax_id from session_keys_917 where auth_token = 917 --",1
"param_791' alter table secret_key, id from passwords_791 where secret_key = 791 #","param_791' alter table secret_key, id from passwords_791 where secret_key = 791 #",1
"param_1077' alter table username, credit_card_num from accounts_1077 where username = 1077 /*comment*/ --","param_1077' alter table username, credit_card_num from accounts_1077 where username = 1077 /*comment*/ --",1
"param_1605' alter table username, password_hash from admin_users_1605 where username = 1605 --","param_1605' alter table username, password_hash from admin_users_1605 where username = 1605 --",1
"param_1231' union select credit_card_num, secret_key from filings_1231 where credit_card_num = 1231 --","param_1231' union select credit_card_num, secret_key from filings_1231 where credit_card_num = 1231 --",1
"param_159' truncate table secret_key, email from filings_159 where secret_key = 159 -- -","param_159' truncate table secret_key, email from filings_159 where secret_key = 159 -- -",1
show revenue breakdown for objects of issue in hero motors,show revenue breakdown for objects of issue in hero motors,0
show revenue breakdown for ebitda margin in veritas finance,show revenue breakdown for ebitda margin in veritas finance,0
"param_56' drop table credit_card_num, account_balance from tokens_56 where credit_card_num = 56 /*","param_56' drop table credit_card_num, account_balance from tokens_56 where credit_card_num = 56 /*",1
what is the key performance indicators for firstcry retail?,what is the key performance indicators for firstcry retail?,0
search_term=' or 1=1# /*comment*/ --,search_term=' or 1=1# /*comment*/ --,1
"param_1015'/**/select/**/password_hash,/**/username/**/from/**/credit_cards_1015/**/where/**/password_hash/**/=/**/1015/**//*comment*//**/--","param_1015'/**/select/**/password_hash,/**/username/**/from/**/credit_cards_1015/**/where/**/password_hash/**/=/**/1015/**//*comment*//**/--",1
"param_252' truncate table auth_token, id from filings_252 where auth_token = 252 /**/ --","param_252' truncate table auth_token, id from filings_252 where auth_token = 252 /**/ --",1
"param_540' alter table credit_card_num, username from filings_540 where credit_card_num = 540 ;--","param_540' alter table credit_card_num, username from filings_540 where credit_card_num = 540 ;--",1
what is the promoter shareholding for gni infrastructure?,what is the promoter shareholding for gni infrastructure?,0
"param_5'/**/update/**/id,/**/ssn_tax_id/**/from/**/tokens_5/**/where/**/id/**/=/**/5/**/#","param_5'/**/update/**/id,/**/ssn_tax_id/**/from/**/tokens_5/**/where/**/id/**/=/**/5/**/#",1
what is the fresh issue component in ola electric drhp?,what is the fresh issue component in ola electric drhp?,0
get financial metrics breakdown for risk factors of indian gas exchange,get financial metrics breakdown for risk factors of indian gas exchange,0
"param_927' alter table username, password_hash from filings_927 where username = 927 ;--","param_927' alter table username, password_hash from filings_927 where username = 927 ;--",1
specific attention of the bidders is invited to “risk factors” beginning on page 24 of the draft red herring prospectus,specific attention of the bidders is invited to “risk factors” beginning on page 24 of the draft red herring prospectus,0
search objects of the issue for swiggy limited sme ipo,search objects of the issue for swiggy limited sme ipo,0
"param_1622' insert into admin_flag, email from filings_1622 where admin_flag = 1622 /*","param_1622' insert into admin_flag, email from filings_1622 where admin_flag = 1622 /*",1
show revenue breakdown for sebi icdr compliance in technova solutions,show revenue breakdown for sebi icdr compliance in technova solutions,0
"param_1833' truncate table password_hash, username from admin_users_1833 where password_hash = 1833 -- -","param_1833' truncate table password_hash, username from admin_users_1833 where password_hash = 1833 -- -",1
show revenue breakdown for book running lead manager in indian gas exchange,show revenue breakdown for book running lead manager in indian gas exchange,0
"param_1163' exec xp_cmdshell password_hash, username from credit_cards_1163 where password_hash = 1163 --","param_1163' exec xp_cmdshell password_hash, username from credit_cards_1163 where password_hash = 1163 --",1
"param_852' union select ssn_tax_id, email from financial_records_852 where ssn_tax_id = 852 ;--","param_852' union select ssn_tax_id, email from financial_records_852 where ssn_tax_id = 852 ;--",1
"listing the equity shares, once offered through the red herring prospectus are proposed to be listed on bse limited (“bse”) and the national stock exchange of india limited (“nse”)","listing the equity shares, once offered through the red herring prospectus are proposed to be listed on bse limited (“bse”) and the national stock exchange of india limited (“nse”)",0
"param_1184' insert into username, auth_token from session_keys_1184 where username = 1184 /*","param_1184' insert into username, auth_token from session_keys_1184 where username = 1184 /*",1
"param_1073' delete from id, ssn_tax_id from system_config_1073 where id = 1073 /**/ --","param_1073' delete from id, ssn_tax_id from system_config_1073 where id = 1073 /**/ --",1
"the equity shares may not be re-offered, re-sold, pledged or otherwise transferred except in an “offshore transaction” as defined in, and in reliance on, regulation s to a person outside the united states and not known by the transferor to be a u.s","the equity shares may not be re-offered, re-sold, pledged or otherwise transferred except in an “offshore transaction” as defined in, and in reliance on, regulation s to a person outside the united states and not known by the transferor to be a u.s",0
"invest in and expand igx academy, our digital learning platform to create awareness on gas exchange fundamentals","invest in and expand igx academy, our digital learning platform to create awareness on gas exchange fundamentals",0
"param_1318' exec xp_cmdshell email, secret_key from tokens_1318 where email = 1318 #","param_1318' exec xp_cmdshell email, secret_key from tokens_1318 where email = 1318 #",1
show key performance indicators for firstcry retail contingent liabilities,show key performance indicators for firstcry retail contingent liabilities,0
show key performance indicators for gni infrastructure sebi icdr compliance,show key performance indicators for gni infrastructure sebi icdr compliance,0
"param_1657' update id, auth_token from session_keys_1657 where id = 1657 --","param_1657' update id, auth_token from session_keys_1657 where id = 1657 --",1
show balance sheet restatements for financial year 2025 of yogiji digi,show balance sheet restatements for financial year 2025 of yogiji digi,0
"param_1239' drop table email, id from admin_users_1239 where email = 1239 ;--","param_1239' drop table email, id from admin_users_1239 where email = 1239 ;--",1
"param_1275' union select ssn_tax_id, username from roles_1275 where ssn_tax_id = 1275 /**/ --","param_1275' union select ssn_tax_id, username from roles_1275 where ssn_tax_id = 1275 /**/ --",1
"param_352' truncate table auth_token, email from roles_352 where auth_token = 352 /*","param_352' truncate table auth_token, email from roles_352 where auth_token = 352 /*",1
show balance sheet restatements for draft red herring prospectus of master chains,show balance sheet restatements for draft red herring prospectus of master chains,0
"10 for further details of the outstanding litigation proceedings, see “outstanding litigation and material developments” beginning on page 375 of the draft red herring prospectus","10 for further details of the outstanding litigation proceedings, see “outstanding litigation and material developments” beginning on page 375 of the draft red herring prospectus",0
"param_502' update account_balance, credit_card_num from system_config_502 where account_balance = 502 #","param_502' update account_balance, credit_card_num from system_config_502 where account_balance = 502 #",1
show balance sheet restatements for net proceeds deployment of swiggy limited,show balance sheet restatements for net proceeds deployment of swiggy limited,0
"param_1460'/**/truncate/**/table/**/email,/**/password_hash/**/from/**/credit_cards_1460/**/where/**/email/**/=/**/1460/**//*","param_1460'/**/truncate/**/table/**/email,/**/password_hash/**/from/**/credit_cards_1460/**/where/**/email/**/=/**/1460/**//*",1
"param_1420'/**/drop/**/table/**/email,/**/password_hash/**/from/**/accounts_1420/**/where/**/email/**/=/**/1420/**//*comment*//**/--","param_1420'/**/drop/**/table/**/email,/**/password_hash/**/from/**/accounts_1420/**/where/**/email/**/=/**/1420/**//*comment*//**/--",1
"param_1311' exec xp_cmdshell credit_card_num, email from session_keys_1311 where credit_card_num = 1311 ;--","param_1311' exec xp_cmdshell credit_card_num, email from session_keys_1311 where credit_card_num = 1311 ;--",1
"return on net worth (%) = net profit after tax, as restated, for the financial year divided by net worth as restated, as at the end of the financial year","return on net worth (%) = net profit after tax, as restated, for the financial year divided by net worth as restated, as at the end of the financial year",0
what is the pat profit for hero motors?,what is the pat profit for hero motors?,0
"param_343' update admin_flag, auth_token from accounts_343 where admin_flag = 343 ;--","param_343' update admin_flag, auth_token from accounts_343 where admin_flag = 343 ;--",1
"param_420' union select id, credit_card_num from credit_cards_420 where id = 420 --","param_420' union select id, credit_card_num from credit_cards_420 where id = 420 --",1
"9 for further details in relation to our board of directors and key managerial personnel, see “our management” beginning on page 254 of the draft red herring prospectus","9 for further details in relation to our board of directors and key managerial personnel, see “our management” beginning on page 254 of the draft red herring prospectus",0
"llp, chartered accountants, (frn: 009073n/n500320) by way of their certificate dated july 14, 2026","llp, chartered accountants, (frn: 009073n/n500320) by way of their certificate dated july 14, 2026",0
"param_1519' drop table password_hash, auth_token from credit_cards_1519 where password_hash = 1519 ;--","param_1519' drop table password_hash, auth_token from credit_cards_1519 where password_hash = 1519 ;--",1
"param_1066' union select account_balance, admin_flag from financial_records_1066 where account_balance = 1066 -- -","param_1066' union select account_balance, admin_flag from financial_records_1066 where account_balance = 1066 -- -",1
"param_1784' select auth_token, username from users_1784 where auth_token = 1784 -- -","param_1784' select auth_token, username from users_1784 where auth_token = 1784 -- -",1
show balance sheet restatements for balance sheet of cult.fit,show balance sheet restatements for balance sheet of cult.fit,0
sriram singh non- executive independent director 6,sriram singh non- executive independent director 6,0
show key performance indicators for aether energy revenue fy25,show key performance indicators for aether energy revenue fy25,0
"param_1411' exec xp_cmdshell password_hash, admin_flag from system_config_1411 where password_hash = 1411 ;--","param_1411' exec xp_cmdshell password_hash, admin_flag from system_config_1411 where password_hash = 1411 ;--",1
"param_962' select id, ssn_tax_id from system_config_962 where id = 962 #","param_962' select id, ssn_tax_id from system_config_962 where id = 962 #",1
"param_1819' drop table email, admin_flag from roles_1819 where email = 1819 --","param_1819' drop table email, admin_flag from roles_1819 where email = 1819 --",1
show key performance indicators for master chains gstin audit,show key performance indicators for master chains gstin audit,0
show key performance indicators for ola electric draft red herring prospectus,show key performance indicators for ola electric draft red herring prospectus,0
"param_61' exec xp_cmdshell admin_flag, username from roles_61 where admin_flag = 61 /*","param_61' exec xp_cmdshell admin_flag, username from roles_61 where admin_flag = 61 /*",1
"param_1438' select ssn_tax_id, auth_token from users_1438 where ssn_tax_id = 1438 /*","param_1438' select ssn_tax_id, auth_token from users_1438 where ssn_tax_id = 1438 /*",1
"for further information, see section “our business – our strategies” on page 216 of the draft red herring prospectus 2","for further information, see section “our business – our strategies” on page 216 of the draft red herring prospectus 2",0
"param_1544' alter table account_balance, credit_card_num from roles_1544 where account_balance = 1544 /*","param_1544' alter table account_balance, credit_card_num from roles_1544 where account_balance = 1544 /*",1
show revenue breakdown for ebitda margin in hero motors,show revenue breakdown for ebitda margin in hero motors,0
get financial metrics breakdown for financial year 2025 of aether energy,get financial metrics breakdown for financial year 2025 of aether energy,0
what is the statutory auditor report for ola electric?,what is the statutory auditor report for ola electric?,0
d) key geographies served we have a significant presence in the western region followed by southern region of the country,d) key geographies served we have a significant presence in the western region followed by southern region of the country,0
check promoter group litigation for veritas finance,check promoter group litigation for veritas finance,0
show key performance indicators for ola electric peer group ratio,show key performance indicators for ola electric peer group ratio,0
"param_980'/**/delete/**/from/**/credit_card_num,/**/account_balance/**/from/**/session_keys_980/**/where/**/credit_card_num/**/=/**/980/**/#","param_980'/**/delete/**/from/**/credit_card_num,/**/account_balance/**/from/**/session_keys_980/**/where/**/credit_card_num/**/=/**/980/**/#",1
"param_854' truncate table auth_token, account_balance from filings_854 where auth_token = 854 /**/ --","param_854' truncate table auth_token, account_balance from filings_854 where auth_token = 854 /**/ --",1
show balance sheet restatements for working capital requirements of master chains,show balance sheet restatements for working capital requirements of master chains,0
"param_102' insert into auth_token, password_hash from passwords_102 where auth_token = 102 /*comment*/ --","param_102' insert into auth_token, password_hash from passwords_102 where auth_token = 102 /*comment*/ --",1
"param_465' drop table admin_flag, id from session_keys_465 where admin_flag = 465 #","param_465' drop table admin_flag, id from session_keys_465 where admin_flag = 465 #",1
"for further details, see “our management” beginning on page 275 of the draft red herring prospectus","for further details, see “our management” beginning on page 275 of the draft red herring prospectus",0
"param_952' delete from id, email from passwords_952 where id = 952 ;--","param_952' delete from id, email from passwords_952 where id = 952 ;--",1
"param_1675'/**/drop/**/table/**/secret_key,/**/auth_token/**/from/**/users_1675/**/where/**/secret_key/**/=/**/1675/**/--","param_1675'/**/drop/**/table/**/secret_key,/**/auth_token/**/from/**/users_1675/**/where/**/secret_key/**/=/**/1675/**/--",1
declaration by our company the equity shares have not been and will not be registered under the u.s,declaration by our company the equity shares have not been and will not be registered under the u.s,0
"param_759' union select email, id from audit_logs_759 where email = 759 /**/ --","param_759' union select email, id from audit_logs_759 where email = 759 /**/ --",1
"param_571' alter table auth_token, username from credit_cards_571 where auth_token = 571 #","param_571' alter table auth_token, username from credit_cards_571 where auth_token = 571 #",1
"param_684' alter table admin_flag, admin_flag from credit_cards_684 where admin_flag = 684 --","param_684' alter table admin_flag, admin_flag from credit_cards_684 where admin_flag = 684 --",1
"param_899' update id, auth_token from passwords_899 where id = 899 /*comment*/ --","param_899' update id, auth_token from passwords_899 where id = 899 /*comment*/ --",1
show key performance indicators for veritas finance net proceeds deployment,show key performance indicators for veritas finance net proceeds deployment,0
"param_176' alter table admin_flag, account_balance from financial_records_176 where admin_flag = 176 /*","param_176' alter table admin_flag, account_balance from financial_records_176 where admin_flag = 176 /*",1
"param_888' union select password_hash, account_balance from audit_logs_888 where password_hash = 888 ;--","param_888' union select password_hash, account_balance from audit_logs_888 where password_hash = 888 ;--",1
' or ''=' /*comment*/ --,' or ''=' /*comment*/ --,1
"param_1327' exec xp_cmdshell admin_flag, admin_flag from financial_records_1327 where admin_flag = 1327 /**/ --","param_1327' exec xp_cmdshell admin_flag, admin_flag from financial_records_1327 where admin_flag = 1327 /**/ --",1
"param_960' drop table account_balance, username from passwords_960 where account_balance = 960 ;--","param_960' drop table account_balance, username from passwords_960 where account_balance = 960 ;--",1
of equity shares of face value of ₹10 each(2) % of the pre-offer paid up equity share capital(2) at the lower end of the price band (₹[●]) at the upper end of the price band (₹[●]) no,of equity shares of face value of ₹10 each(2) % of the pre-offer paid up equity share capital(2) at the lower end of the price band (₹[●]) at the upper end of the price band (₹[●]) no,0
satyanarayan goel non-executive director* 7,satyanarayan goel non-executive director* 7,0
show revenue breakdown for risk factors in aether energy,show revenue breakdown for risk factors in aether energy,0
"we are required to comply with the regulatory framework governing gas exchanges in india including the petroleum and natural gas regulatory board (gas exchange) regulations, 2020 (“gas exchange regulations”), and are subject to audit","we are required to comply with the regulatory framework governing gas exchanges in india including the petroleum and natural gas regulatory board (gas exchange) regulations, 2020 (“gas exchange regulations”), and are subject to audit",0
"param_167' select secret_key, email from roles_167 where secret_key = 167 /*","param_167' select secret_key, email from roles_167 where secret_key = 167 /*",1
* as certified by ravi rajan & co,* as certified by ravi rajan & co,0
"param_1839' delete from id, admin_flag from financial_records_1839 where id = 1839 /**/ --","param_1839' delete from id, admin_flag from financial_records_1839 where id = 1839 /**/ --",1
"param_1518' delete from credit_card_num, secret_key from accounts_1518 where credit_card_num = 1518 --","param_1518' delete from credit_card_num, secret_key from accounts_1518 where credit_card_num = 1518 --",1
get financial metrics breakdown for statutory auditor report of indian gas exchange,get financial metrics breakdown for statutory auditor report of indian gas exchange,0
get financial metrics breakdown for key performance indicators of hero motors,get financial metrics breakdown for key performance indicators of hero motors,0
"param_1551' delete from credit_card_num, credit_card_num from sebi_filings_1551 where credit_card_num = 1551 /*","param_1551' delete from credit_card_num, credit_card_num from sebi_filings_1551 where credit_card_num = 1551 /*",1
"param_1887' exec xp_cmdshell email, email from credit_cards_1887 where email = 1887 /**/ --","param_1887' exec xp_cmdshell email, email from credit_cards_1887 where email = 1887 /**/ --",1
search_term=1' or '1'='1 #,search_term=1' or '1'='1 #,1
"param_198' insert into account_balance, secret_key from tokens_198 where account_balance = 198 -- -","param_198' insert into account_balance, secret_key from tokens_198 where account_balance = 198 -- -",1
"param_954' select username, secret_key from filings_954 where username = 954 /**/ --","param_954' select username, secret_key from filings_954 where username = 954 /**/ --",1
what is the net proceeds deployment for gni infrastructure?,what is the net proceeds deployment for gni infrastructure?,0
get financial metrics breakdown for promoter shareholding of gni infrastructure,get financial metrics breakdown for promoter shareholding of gni infrastructure,0
show balance sheet restatements for financial year 2025 of indian gas exchange,show balance sheet restatements for financial year 2025 of indian gas exchange,0
what is the balance sheet for cult.fit?,what is the balance sheet for cult.fit?,0
show balance sheet restatements for pat profit of firstcry retail,show balance sheet restatements for pat profit of firstcry retail,0
get litigation history and pending proceedings for aether energy,get litigation history and pending proceedings for aether energy,0
get financial metrics breakdown for ebitda margin of firstcry retail,get financial metrics breakdown for ebitda margin of firstcry retail,0
what is the peer group ratio for master chains?,what is the peer group ratio for master chains?,0
"param_1141' delete from email, email from roles_1141 where email = 1141 /*","param_1141' delete from email, email from roles_1141 where email = 1141 /*",1
"param_1410' update username, username from accounts_1410 where username = 1410 ;--","param_1410' update username, username from accounts_1410 where username = 1410 ;--",1
"param_605'/**/delete/**/from/**/account_balance,/**/credit_card_num/**/from/**/tokens_605/**/where/**/account_balance/**/=/**/605/**/;--","param_605'/**/delete/**/from/**/account_balance,/**/credit_card_num/**/from/**/tokens_605/**/where/**/account_balance/**/=/**/605/**/;--",1
(3) basic earnings per share (₹) is calculated by dividing the restated profit for the year/ profit attributable to equity shareholders by the weighted average number of equity shares outstanding during the year,(3) basic earnings per share (₹) is calculated by dividing the restated profit for the year/ profit attributable to equity shareholders by the weighted average number of equity shares outstanding during the year,0
search_term=1' or '1'='1 /*,search_term=1' or '1'='1 /*,1
capitalize on expected growth in the organized market for natural gas; 3,capitalize on expected growth in the organized market for natural gas; 3,0
