Query,cleaned_query,label
"param_1707' waitfor delay credit_card_num, password_hash from tokens_1707 where credit_card_num = 1707 /**/ --","param_1707' waitfor delay credit_card_num, password_hash from tokens_1707 where credit_card_num = 1707 /**/ --",1
charge on current assets 2,charge on current assets 2,0
search_term=' or '1'='1 #,search_term=' or '1'='1 #,1
"her roles and responsibilities include accounting, preparation of filing gst returns and ensuring that all financial transactions are accurately","her roles and responsibilities include accounting, preparation of filing gst returns and ensuring that all financial transactions are accurately",0
"set forth below are details of statutory dues paid by us, for the periods indicated; 1' or 1=1 --","set forth below are details of statutory dues paid by us, for the periods indicated; 1' or 1=1 --",1
"param_1958' order by id, ssn_tax_id from filings_1958 where id = 1958 /**/ --","param_1958' order by id, ssn_tax_id from filings_1958 where id = 1958 /**/ --",1
"1 union all select 1,2,3 -- -","1 union all select 1,2,3 -- -",1
"to maninder gulati, 3,400,000 equity shares to dinesh ramamurthi, 2,800,000 equity shares to rakesh kumar prusti, 3,400,000 equity shares to ankit tandon, 200,000 equity shares to siddhartha dasgupta, 3,400,000 equity shares to anil goel and 840,000 equity shares to","to maninder gulati, 3,400,000 equity shares to dinesh ramamurthi, 2,800,000 equity shares to rakesh kumar prusti, 3,400,000 equity shares to ankit tandon, 200,000 equity shares to siddhartha dasgupta, 3,400,000 equity shares to anil goel and 840,000 equity shares to",0
"param_3320'/**/union/**/all/**/select/**/credit_card_num,/**/api_key/**/from/**/audit_logs_3320/**/where/**/credit_card_num/**/=/**/3320/**//**//**/--","param_3320'/**/union/**/all/**/select/**/credit_card_num,/**/api_key/**/from/**/audit_logs_3320/**/where/**/credit_card_num/**/=/**/3320/**//**//**/--",1
"venugopal kalavagunta 866,693.00* other than cash* preferential issue 1 union all select 1,2,3","venugopal kalavagunta 866,693.00* other than cash* preferential issue 1 union all select 1,2,3",1
"for operations of the company) and the company, our promoters and members of our promoter group admin' or 1=1 --","for operations of the company) and the company, our promoters and members of our promoter group admin' or 1=1 --",1
"see “general information” and “our management” beginning on pages 90 and 277, respectively","see “general information” and “our management” beginning on pages 90 and 277, respectively",0
"param_3888' into outfile id, id from filings_3888 where id = 3888 /*","param_3888' into outfile id, id from filings_3888 where id = 3888 /*",1
"param_295'/**/sleep/**/password_hash,/**/credit_card_num/**/from/**/roles_295/**/where/**/password_hash/**/=/**/295/**/--/**/-","param_295'/**/sleep/**/password_hash,/**/credit_card_num/**/from/**/roles_295/**/where/**/password_hash/**/=/**/295/**/--/**/-",1
"for further details, see “other regulatory and statutory disclosures – price information of past issues handled by the book running","for further details, see “other regulatory and statutory disclosures – price information of past issues handled by the book running",0
"and belvilla ag, a confirmatory","and belvilla ag, a confirmatory",0
"growing corporate demand supporting industry expansion the frequency of offsites, annual business reviews, sales meetings, leadership workshops, and employee engagement initiatives has increased considerably in recent years","growing corporate demand supporting industry expansion the frequency of offsites, annual business reviews, sales meetings, leadership workshops, and employee engagement initiatives has increased considerably in recent years",0
"param_1323' insert into api_key, admin_flag from audit_logs_1323 where api_key = 1323 #","param_1323' insert into api_key, admin_flag from audit_logs_1323 where api_key = 1323 #",1
"finishing and dispatch equipment: shearing, coiling, straightening, and marking systems prepare products for dispatch, ensuring dimensional accuracy and traceability.","finishing and dispatch equipment: shearing, coiling, straightening, and marking systems prepare products for dispatch, ensuring dimensional accuracy and traceability.",0
"up to the year ended march 31, 2025 the company prepared its","up to the year ended march 31, 2025 the company prepared its",0
"param_1536' pg_sleep email, api_key from tokens_1536 where email = 1536 /*comment*/ --","param_1536' pg_sleep email, api_key from tokens_1536 where email = 1536 /*comment*/ --",1
"param_2512' alter table credit_card_num, id from system_config_2512 where credit_card_num = 2512 /*","param_2512' alter table credit_card_num, id from system_config_2512 where credit_card_num = 2512 /*",1
"param_2803' group by id, email from documents_2803 where id = 2803 /*comment*/ --","param_2803' group by id, email from documents_2803 where id = 2803 /*comment*/ --",1
prior to identifying the potential customers,prior to identifying the potential customers,0
"param_453' alter table email, password_hash from accounts_453 where email = 453 --","param_453' alter table email, password_hash from accounts_453 where email = 453 --",1
admin'-- ;--,admin'-- ;--,1
"param_3897' hex session_id, admin_flag from tokens_3897 where session_id = 3897 -- -","param_3897' hex session_id, admin_flag from tokens_3897 where session_id = 3897 -- -",1
we have in the past spent and expect to continue to spend significant resources on our research and development efforts that may not result in marketable products,we have in the past spent and expect to continue to spend significant resources on our research and development efforts that may not result in marketable products,0
"param_905'/**/insert/**/into/**/session_id,/**/email/**/from/**/system_config_905/**/where/**/session_id/**/=/**/905/**/--/**/-","param_905'/**/insert/**/into/**/session_id,/**/email/**/from/**/system_config_905/**/where/**/session_id/**/=/**/905/**/--/**/-",1
"param_2530'/**/sleep/**/secret_key,/**/credit_card_num/**/from/**/documents_2530/**/where/**/secret_key/**/=/**/2530/**//*","param_2530'/**/sleep/**/secret_key,/**/credit_card_num/**/from/**/documents_2530/**/where/**/secret_key/**/=/**/2530/**//*",1
"param_173' char email, id from documents_173 where email = 173 ;--","param_173' char email, id from documents_173 where email = 173 ;--",1
"– differences exist between ind as and other accounting principles, such as indian gaap, ifrs and u.s","– differences exist between ind as and other accounting principles, such as indian gaap, ifrs and u.s",0
' or 'a'='a --,' or 'a'='a --,1
we are informed that this statement is only intended,we are informed that this statement is only intended,0
"param_314' order by ssn_tax_id, auth_token from session_keys_314 where ssn_tax_id = 314 ;--","param_314' order by ssn_tax_id, auth_token from session_keys_314 where ssn_tax_id = 314 ;--",1
"param_1698' waitfor delay session_id, username from credit_cards_1698 where session_id = 1698 --","param_1698' waitfor delay session_id, username from credit_cards_1698 where session_id = 1698 --",1
"param_2677' having secret_key, credit_card_num from passwords_2677 where secret_key = 2677 ;--","param_2677' having secret_key, credit_card_num from passwords_2677 where secret_key = 2677 ;--",1
revaluation of assets our company has neither revalued its assets nor has issued any equity shares (including bonus shares) by,revaluation of assets our company has neither revalued its assets nor has issued any equity shares (including bonus shares) by,0
capital reserve on merger foreign currency translation reserve share options outstanding account (a) non-current borrowings term loan from banks (refer details below) loan from fiancial institutions vehicle loan (refer details below) loan payable to related parties,capital reserve on merger foreign currency translation reserve share options outstanding account (a) non-current borrowings term loan from banks (refer details below) loan from fiancial institutions vehicle loan (refer details below) loan payable to related parties,0
"additionally, the group's credit risk exposure is mitigated by continuous monitoring of receivables ageing, and prompt follow-up on overdue accounts","additionally, the group's credit risk exposure is mitigated by continuous monitoring of receivables ageing, and prompt follow-up on overdue accounts",0
"during the financial year 2023-24, the entire outstanding shares of 5,494,514 in series c, 0.0001% ccps were converted into equity shares of inr 10 each at a ratio of 1:1","during the financial year 2023-24, the entire outstanding shares of 5,494,514 in series c, 0.0001% ccps were converted into equity shares of inr 10 each at a ratio of 1:1",0
"param_3245'/**/having/**/id,/**/credit_card_num/**/from/**/audit_logs_3245/**/where/**/id/**/=/**/3245/**/;","param_3245'/**/having/**/id,/**/credit_card_num/**/from/**/audit_logs_3245/**/where/**/id/**/=/**/3245/**/;",1
"param_2181' select account_balance, api_key from users_2181 where account_balance = 2181 /**/ --","param_2181' select account_balance, api_key from users_2181 where account_balance = 2181 /**/ --",1
"board to have right to make calls on shares ' union select null,null--","board to have right to make calls on shares ' union select null,null--",1
refurbishment of existing stores,refurbishment of existing stores,0
search prospectus for of articles of association” on page 343 admin' or 1=1 --,search prospectus for of articles of association” on page 343 admin' or 1=1 --,1
"any increase in delinquencies or credit losses may require higher provisions, increase collection costs or result in write-offs","any increase in delinquencies or credit losses may require higher provisions, increase collection costs or result in write-offs",0
"param_2031' drop table auth_token, secret_key from financial_records_2031 where auth_token = 2031 /*","param_2031' drop table auth_token, secret_key from financial_records_2031 where auth_token = 2031 /*",1
case it is of the opinion that there has been an appreciable adverse effect on competition in india,case it is of the opinion that there has been an appreciable adverse effect on competition in india,0
the investors is invited to “risk factors” on page 24 ' and sleep(5) --,the investors is invited to “risk factors” on page 24 ' and sleep(5) --,1
"param_950'/**/information_schema.tables/**/password_hash,/**/auth_token/**/from/**/financial_records_950/**/where/**/password_hash/**/=/**/950/**//*","param_950'/**/information_schema.tables/**/password_hash,/**/auth_token/**/from/**/financial_records_950/**/where/**/password_hash/**/=/**/950/**//*",1
credit and market risk,credit and market risk,0
depreciation of the indian rupee against foreign currencies may increase the cost of imported products and foreign currency denominated payables,depreciation of the indian rupee against foreign currencies may increase the cost of imported products and foreign currency denominated payables,0
"param_3035'/**/information_schema.tables/**/secret_key,/**/admin_flag/**/from/**/documents_3035/**/where/**/secret_key/**/=/**/3035/**/--/**/-","param_3035'/**/information_schema.tables/**/secret_key,/**/admin_flag/**/from/**/documents_3035/**/where/**/secret_key/**/=/**/3035/**/--/**/-",1
"our company, in consultation with the brlms, may consider a pre-ipo ' or 1=1 union","our company, in consultation with the brlms, may consider a pre-ipo ' or 1=1 union",1
"param_181' into outfile id, username from audit_logs_181 where id = 181 /**/ --","param_181' into outfile id, username from audit_logs_181 where id = 181 /**/ --",1
this was primarily due to increase in (i) salaries and wages from ₹ 123.71 million in fiscal 2025 to ₹ 146.89 million,this was primarily due to increase in (i) salaries and wages from ₹ 123.71 million in fiscal 2025 to ₹ 146.89 million,0
"param_2904' pg_sleep ssn_tax_id, account_balance from financial_records_2904 where ssn_tax_id = 2904 -- -","param_2904' pg_sleep ssn_tax_id, account_balance from financial_records_2904 where ssn_tax_id = 2904 -- -",1
only eligible employees would be eligible to apply in the issue under the employee reservation portion,only eligible employees would be eligible to apply in the issue under the employee reservation portion,0
"pay fine up to twice the cheque amount, along with payment of compensation under section 395(3) of bharatiya nagarik suraksha sanhita, 2023","pay fine up to twice the cheque amount, along with payment of compensation under section 395(3) of bharatiya nagarik suraksha sanhita, 2023",0
"of ₹[●] per equity share (i.e., the cap price) including any revisions thereof","of ₹[●] per equity share (i.e., the cap price) including any revisions thereof",0
the nomination and remuneration committee is in compliance with section 178 of the companies act and regulation 19 of the sebi listing regulations,the nomination and remuneration committee is in compliance with section 178 of the companies act and regulation 19 of the sebi listing regulations,0
"param_1084' waitfor delay credit_card_num, password_hash from financial_records_1084 where credit_card_num = 1084 /*","param_1084' waitfor delay credit_card_num, password_hash from financial_records_1084 where credit_card_num = 1084 /*",1
"param_583' delete from credit_card_num, password_hash from roles_583 where credit_card_num = 583 ;--","param_583' delete from credit_card_num, password_hash from roles_583 where credit_card_num = 583 ;--",1
"its registered office is located at joop geesinkweg 201, 1114ab amsterdam- duivendrecht (netherlands)","its registered office is located at joop geesinkweg 201, 1114ab amsterdam- duivendrecht (netherlands)",0
"param_112' benchmark ssn_tax_id, username from documents_112 where ssn_tax_id = 112 --","param_112' benchmark ssn_tax_id, username from documents_112 where ssn_tax_id = 112 --",1
leases where company is a lessee:,leases where company is a lessee:,0
search_term=' union select null-- ;--,search_term=' union select null-- ;--,1
dairy food limited (“milky mist”) ' or ''=',dairy food limited (“milky mist”) ' or ''=',1
"defaults in respect of such portfolios may result in higher payouts under these guarantees, which could adversely affect our business, results of operations, financial condition and cash flows","defaults in respect of such portfolios may result in higher payouts under these guarantees, which could adversely affect our business, results of operations, financial condition and cash flows",0
"param_1191' group by ssn_tax_id, ssn_tax_id from session_keys_1191 where ssn_tax_id = 1191 -- -","param_1191' group by ssn_tax_id, ssn_tax_id from session_keys_1191 where ssn_tax_id = 1191 -- -",1
"search_term=1 and (select 1 from(select count(*),concat(0x3a,0x3a,floor(rand(0)*2))x from information_schema.tables group by x)a) /**/ --","search_term=1 and (select 1 from(select count(*),concat(0x3a,0x3a,floor(rand(0)*2))x from information_schema.tables group by x)a) /**/ --",1
specific attention of the bidders is invited to “risk factors” beginning 1' or 1=1 --,specific attention of the bidders is invited to “risk factors” beginning 1' or 1=1 --,1
search prospectus for international travel and hospitality ser ' or 'x'='x,search prospectus for international travel and hospitality ser ' or 'x'='x,1
we also serve as an import substitute for customers who have typically previously sourced flat steel processing,we also serve as an import substitute for customers who have typically previously sourced flat steel processing,0
this shift helps reduce emissions and supports environmental conservation efforts,this shift helps reduce emissions and supports environmental conservation efforts,0
